alpha,energy
0.01,0.610781659
0.02,0.600488898
0.03,0.590194384
0.04,0.579896997
0.05,0.569596731
0.06,0.559293581
0.07,0.548987543
0.08,0.538678611
0.09,0.52836678
0.1,0.518052046
0.11,0.507734403
0.12,0.497413846
0.13,0.48709037
0.14,0.47676397
0.15,0.466434641
0.16,0.456102378
0.17,0.445767175
0.18,0.435429028
0.19,0.42508793
0.2,0.414743878
0.21,0.404396866
0.22,0.394046888
0.23,0.383693939
0.24,0.373338015
0.25,0.362979109
0.26,0.352617217
0.27,0.342252332
0.28,0.331884451
0.29,0.321513567
0.3,0.311139674
0.31,0.300762769
0.32,0.290382845
0.33,0.279999896
0.34,0.269613918
0.35,0.259224904
0.36,0.24883285
0.37,0.23843775
0.38,0.228039598
0.39,0.217638389
0.4,0.207234117
0.41,0.196826777
0.42,0.186416363
0.43,0.176002869
0.44,0.16558629
0.45,0.155166621
0.46,0.144743854
0.47,0.134317986
0.48,0.123889009
0.49,0.113456919
0.5,0.10302171
0.51,0.092583375
0.52,0.082141909
0.53,0.071697307
0.54,0.061249562
0.55,0.050798668
0.56,0.04034462
0.57,0.029887412
0.58,0.019427037
0.59,0.008963491
0.6,-0.001503234
0.61,-0.011973142
0.62,-0.022446241
0.63,-0.032922535
0.64,-0.043402032
0.65,-0.053884737
0.66,-0.064370656
0.67,-0.074859795
0.68,-0.085352161
0.69,-0.095847759
0.7,-0.106346596
0.71,-0.116848678
0.72,-0.127354011
0.73,-0.137862601
0.74,-0.148374455
0.75,-0.158889579
0.76,-0.169407978
0.77,-0.179929661
0.78,-0.190454632
0.79,-0.200982899
0.8,-0.211514467
0.81,-0.222049343
0.82,-0.232587533
0.83,-0.243129044
0.84,-0.253673883
0.85,-0.264222055
0.86,-0.274773568
0.87,-0.285328428
0.88,-0.295886641
0.89,-0.306448214
0.9,-0.317013154
0.91,-0.327581468
0.92,-0.338153161
0.93,-0.348728241
0.94,-0.359306714
0.95,-0.369888588
0.96,-0.380473868
0.97,-0.391062562
0.98,-0.401654677
0.99,-0.412250219
1,-0.422849195
1.01,-0.433451612
1.02,-0.444057478
1.03,-0.454666798
1.04,-0.46527958
1.05,-0.475895831
1.06,-0.486515558
1.07,-0.497138768
1.08,-0.507765468
1.09,-0.518395665
1.1,-0.529029366
1.11,-0.539666579
1.12,-0.55030731
1.13,-0.560951567
1.14,-0.571599357
1.15,-0.582250688
1.16,-0.592905565
1.17,-0.603563998
1.18,-0.614225993
1.19,-0.624891557
1.2,-0.635560698
1.21,-0.646233423
1.22,-0.656909741
1.23,-0.667589657
1.24,-0.678273181
1.25,-0.688960318
1.26,-0.699651077
1.27,-0.710345466
1.28,-0.721043492
1.29,-0.731745163
1.3,-0.742450486
1.31,-0.753159469
1.32,-0.76387212
1.33,-0.774588446
1.34,-0.785308456
1.35,-0.796032157
1.36,-0.806759557
1.37,-0.817490664
1.38,-0.828225486
1.39,-0.838964031
1.4,-0.849706306
1.41,-0.860452321
1.42,-0.871202082
1.43,-0.881955598
1.44,-0.892712877
1.45,-0.903473927
1.46,-0.914238756
1.47,-0.925007373
1.48,-0.935779786
1.49,-0.946556002
1.5,-0.957336031
1.51,-0.968119881
1.52,-0.978907559
1.53,-0.989699075
1.54,-1.000494437
1.55,-1.011293653
1.56,-1.022096731
1.57,-1.032903681
1.58,-1.043714511
1.59,-1.054529229
1.6,-1.065347844
1.61,-1.076170364
1.62,-1.0869968
1.63,-1.097827158
1.64,-1.108661448
1.65,-1.119499679
1.66,-1.130341859
1.67,-1.141187998
1.68,-1.152038105
1.69,-1.162892187
1.7,-1.173750255
1.71,-1.184612317
1.72,-1.195478382
1.73,-1.20634846
1.74,-1.217222559
1.75,-1.228100689
1.76,-1.238982858
1.77,-1.249869077
1.78,-1.260759355
1.79,-1.2716537
1.8,-1.282552122
1.81,-1.293454631
1.82,-1.304361235
1.83,-1.315271945
1.84,-1.32618677
1.85,-1.33710572
1.86,-1.348028803
1.87,-1.35895603
1.88,-1.36988741
1.89,-1.380822954
1.9,-1.39176267
1.91,-1.402706568
1.92,-1.41365466
1.93,-1.424606953
1.94,-1.435563458
1.95,-1.446524186
1.96,-1.457489146
1.97,-1.468458348
1.98,-1.479431802
1.99,-1.490409519
2,-1.501391508
2.01,-1.51237778
2.02,-1.523368344
2.03,-1.534363212
2.04,-1.545362394
2.05,-1.5563659
2.06,-1.56737374
2.07,-1.578385925
2.08,-1.589402465
2.09,-1.600423372
2.1,-1.611448655
2.11,-1.622478325
2.12,-1.633512393
2.13,-1.644550869
2.14,-1.655593765
2.15,-1.666641092
2.16,-1.677692859
2.17,-1.688749079
2.18,-1.699809762
2.19,-1.710874919
2.2,-1.72194456
2.21,-1.733018699
2.22,-1.744097344
2.23,-1.755180508
2.24,-1.766268203
2.25,-1.777360438
2.26,-1.788457226
2.27,-1.799558578
2.28,-1.810664505
2.29,-1.82177502
2.3,-1.832890133
2.31,-1.844009856
2.32,-1.855134201
2.33,-1.866263179
2.34,-1.877396803
2.35,-1.888535083
2.36,-1.899678033
2.37,-1.910825664
2.38,-1.921977987
2.39,-1.933135016
2.4,-1.944296761
2.41,-1.955463236
2.42,-1.966634452
2.43,-1.977810421
2.44,-1.988991157
2.45,-2.00017667
2.46,-2.011366975
2.47,-2.022562082
2.48,-2.033762005
2.49,-2.044966756
2.5,-2.056176348
2.51,-2.067390794
2.52,-2.078610106
2.53,-2.089834297
2.54,-2.10106338
2.55,-2.112297367
2.56,-2.123536273
2.57,-2.13478011
2.58,-2.14602889
2.59,-2.157282628
2.6,-2.168541336
2.61,-2.179805028
2.62,-2.191073717
2.63,-2.202347416
2.64,-2.21362614
2.65,-2.2249099
2.66,-2.236198712
2.67,-2.247492588
2.68,-2.258791543
2.69,-2.270095589
2.7,-2.281404742
2.71,-2.292719015
2.72,-2.304038421
2.73,-2.315362975
2.74,-2.326692692
2.75,-2.338027584
2.76,-2.349367667
2.77,-2.360712954
2.78,-2.372063461
2.79,-2.383419201
2.8,-2.394780188
2.81,-2.406146439
2.82,-2.417517966
2.83,-2.428894786
2.84,-2.440276912
2.85,-2.451664359
2.86,-2.463057143
2.87,-2.474455278
2.88,-2.485858779
2.89,-2.497267662
2.9,-2.508681942
2.91,-2.520101633
2.92,-2.531526752
2.93,-2.542957313
2.94,-2.554393333
2.95,-2.565834826
2.96,-2.577281809
2.97,-2.588734297
2.98,-2.600192305
2.99,-2.61165585
3,-2.623124948
3.01,-2.634599614
3.02,-2.646079865
3.03,-2.657565716
3.04,-2.669057185
3.05,-2.680554287
3.06,-2.692057039
3.07,-2.703565457
3.08,-2.715079557
3.09,-2.726599357
3.1,-2.738124873
3.11,-2.749656122
3.12,-2.76119312
3.13,-2.772735885
3.14,-2.784284434
3.15,-2.795838783
3.16,-2.80739895
3.17,-2.818964953
3.18,-2.830536808
3.19,-2.842114533
3.2,-2.853698146
3.21,-2.865287663
3.22,-2.876883104
3.23,-2.888484485
3.24,-2.900091824
3.25,-2.91170514
3.26,-2.92332445
3.27,-2.934949773
3.28,-2.946581126
3.29,-2.958218529
3.3,-2.969861999
3.31,-2.981511555
3.32,-2.993167215
3.33,-3.004828999
3.34,-3.016496924
3.35,-3.02817101
3.36,-3.039851276
3.37,-3.05153774
3.38,-3.063230422
3.39,-3.074929342
3.4,-3.086634517
3.41,-3.098345968
3.42,-3.110063715
3.43,-3.121787776
3.44,-3.133518171
3.45,-3.145254921
3.46,-3.156998045
3.47,-3.168747563
3.48,-3.180503495
3.49,-3.192265862
3.5,-3.204034683
3.51,-3.215809978
3.52,-3.22759177
3.53,-3.239380077
3.54,-3.251174921
3.55,-3.262976322
3.56,-3.274784302
3.57,-3.286598881
3.58,-3.29842008
3.59,-3.31024792
3.6,-3.322082424
3.61,-3.333923611
3.62,-3.345771504
3.63,-3.357626124
3.64,-3.369487494
3.65,-3.381355633
3.66,-3.393230566
3.67,-3.405112313
