T,Energy
0.001,NaN
0.002,NaN
0.003,Inf
0.004,-0.96990252
0.005,-0.960794919
0.006,-0.952008596
0.007,-0.943472864
0.008,-0.935151974
0.009,-0.926999712
0.01,-0.9190351
0.011,-0.911220924
0.012,-0.903543589
0.013,-0.895991767
0.014,-0.888555871
0.015,-0.881227682
0.016,-0.874000078
0.017,-0.866866824
0.018,-0.859802998
0.019,-0.852843079
0.02,-0.845962709
0.021,-0.839157959
0.022,-0.83242527
0.023,-0.82576141
0.024,-0.819163425
0.025,-0.812628609
0.026,-0.806154473
0.027,-0.799738719
0.028,-0.793379219
0.029,-0.787073999
0.03,-0.78082122
0.031,-0.774619167
0.032,-0.768466234
0.033,-0.762360918
0.034,-0.756301807
0.035,-0.75028757
0.036,-0.744297532
0.037,-0.738369623
0.038,-0.732483025
0.039,-0.72663668
0.04,-0.720829584
0.041,-0.715060784
0.042,-0.709329374
0.043,-0.703634491
0.044,-0.697975313
0.045,-0.692351056
0.046,-0.686760971
0.047,-0.681204341
0.048,-0.675680482
0.049,-0.670188738
0.05,-0.66472848
0.051,-0.659299105
0.052,-0.653900035
0.053,-0.648530712
0.054,-0.643190604
0.055,-0.637879196
0.056,-0.632595993
0.057,-0.627340519
0.058,-0.622112315
0.059,-0.616910939
0.06,-0.611735963
0.061,-0.606586977
0.062,-0.601463582
0.063,-0.596365396
0.064,-0.591292047
0.065,-0.586243178
0.066,-0.581218442
0.067,-0.576217505
0.068,-0.571240043
0.069,-0.566265899
0.07,-0.561334599
0.071,-0.556425861
0.072,-0.551539403
0.073,-0.546674948
0.074,-0.541832231
0.075,-0.537010994
0.076,-0.532210988
0.077,-0.527431971
0.078,-0.522673708
0.079,-0.517935974
0.08,-0.513218547
0.081,-0.508521215
0.082,-0.503843772
0.083,-0.499186017
0.084,-0.494547755
0.085,-0.4899288
0.086,-0.485328968
0.087,-0.480748083
0.088,-0.476185972
0.089,-0.47164247
0.09,-0.467117416
0.091,-0.462610652
0.092,-0.458122026
0.093,-0.453651392
0.094,-0.449198606
0.095,-0.444763529
0.096,-0.440346026
0.097,-0.435945967
0.098,-0.431563224
0.099,-0.427197673
0.1,-0.422849195
0.101,-0.418517672
0.102,-0.414202992
0.103,-0.409905042
0.104,-0.405623717
0.105,-0.401358911
0.106,-0.397110522
0.107,-0.392878451
0.108,-0.388662602
0.109,-0.38446288
0.11,-0.380279192
0.111,-0.37611145
0.112,-0.371959565
0.113,-0.367823452
0.114,-0.363703027
0.115,-0.359598208
0.116,-0.355508914
0.117,-0.351435069
0.118,-0.347376593
0.119,-0.343333413
0.12,-0.339305454
0.121,-0.335292644
0.122,-0.331294911
0.123,-0.327312186
0.124,-0.323344399
0.125,-0.319391482
0.126,-0.31545337
0.127,-0.311529995
0.128,-0.307621294
0.129,-0.303727203
0.13,-0.299847657
0.131,-0.2959825
0.132,-0.292111647
0.133,-0.288275444
0.134,-0.284453541
